,反油酸乙酯,乙酸辛酯,2-甲基-2-苯乙酯丙酸,己酸-2-苯乙酯,异丁醛,己酸,亚油酸乙酯,"2,6-二叔丁基-4-甲基苯酚",植物酮,2-十五烷酮,9-十六碳烯酸乙酯,3-甲基丁酸辛酯,(3Z)-3-癸烯-1-醇乙酸酯,己酸异戊酯,十一醇,庚酸,乙酸正丙酯,乙醛,L(-)-乳酸乙酯,丁酸,丁二酸二乙酯,1-亚甲基-1H-茚,苯丙酸乙酯,辛酸,乙酸2-苯乙酯,3-己烯酸乙酯,对甲酚,己酸糠酯,十五酸乙酯,"2,4-二叔丁基苯酚",糠醛,十六酸乙酯,醋酸,辛酸辛酯,苯乙醛，二乙基乙醛,己醛,S-甲基丁酸酯,辛酸己酯,辛酸丁酯,十四酸乙酯,Group
s1t9,0,7.338565662,6.722395637,7.231096644,0,8.321342378,0,0,6.631399814,6.889518148,7.482346688,6.968892829,6.888708597,0,0,0,0,0,7.530486914,7.183070623,0,7.149777231,7.611402513,0,6.657369016,6.560752039,6.54553889,7.285737797,7.041252081,7.415613231,7.372995263,8.571538481,0,6.771658486,7.142268511,6.434929688,6.388187832,8.516896776,8.032442486,8.069766772,9
s2t9,0,7.329415252,6.680812133,7.216950924,0,8.344053428,7.620061585,0,6.659617451,6.824466251,6.772385948,6.955416373,6.91030906,0,0,0,0,0,7.528370582,7.297855445,0,7.059398201,7.554015805,0,6.563338057,6.693040112,6.854265461,7.305211909,7.091248159,7.386112619,7.406376267,8.613101517,0,7.194318833,7.050940288,6.551908466,6.045200403,8.532714581,8.058673189,8.042372256,9
s3t9,0,7.258609555,6.698392745,7.180494967,0,8.377060428,0,0,6.76166564,6.869620168,6.859912627,6.712884778,7.039433718,0,0,0,0,0,7.692158927,6.767541297,0,6.95316702,7.838461211,0,6.850985995,6.251052001,6.552617968,7.255135573,7.120345625,7.1637546,7.871446912,8.678584494,0,6.553195625,7.297404724,6.377922257,5.737619764,8.224733027,7.667529136,8.128663693,9
s4t9,0,7.20985539,6.745273923,7.560810799,0,8.590708805,0,0,6.599341689,6.488251413,7.084781028,7.204492909,6.366249189,0,0,0,0,0,7.344086217,7.391642403,0,7.229689799,7.577971597,0,6.665571777,6.683040678,7.039412414,7.356239592,6.955415268,7.195708249,6.691361179,8.462954045,0,6.75928106,6.933705464,6.646404523,7.245805313,8.86067539,8.262972779,7.839570088,9
s5t9,0,7.219609989,6.685275979,7.116088439,0,8.049774831,7.349671783,0,6.544204032,6.749305538,7.279178673,6.988350371,6.750218196,0,0,0,0,0,7.428871572,7.169919912,0,7.157683778,7.493080817,0,6.62024936,6.722146819,6.477474011,7.248618134,6.967097961,7.310148244,7.197572668,8.494436556,0,7.062266444,7.195402306,6.225461808,6.351068183,8.402439466,7.985964802,7.951749186,9
s6t9,0,7.281901431,6.759027503,7.35692233,0,8.116615992,7.552688705,0,6.590738988,6.753891258,7.297633005,6.964489166,6.786139103,0,0,0,0,0,7.554154611,7.214937839,0,0,7.636153659,0,6.594793121,6.599200311,6.600243334,7.323009514,7.144408316,7.241581239,7.413491923,8.479710608,0,6.889587074,7.310177137,6.371512026,6.46409181,8.394962138,8.021575636,7.974661018,9
s7t9,0,7.138139303,6.669501719,7.04844481,0,8.281681167,7.369522256,0,6.679021208,6.865417326,6.769889163,6.826178367,6.925783029,0,0,0,0,0,7.509465805,7.207654751,0,6.987964306,7.652005128,0,6.641184229,6.541250012,6.487060055,7.26263885,7.115684085,7.266348033,7.617437203,8.659864927,0,6.614455474,7.220353176,6.513228036,6.078651152,8.291856252,7.834169729,8.042318724,9
s1t12,8.074194097,7.194287629,0,7.505696989,6.484847464,8.656391517,8.15564062,6.819798009,6.925316013,7.015782547,7.766670846,7.185392694,7.111832404,8.815029391,0,7.179385508,6.177914581,0,7.503221209,7.329502657,6.729131102,0,7.721074041,0,6.768599299,6.5755229,6.805340855,7.235492514,7.420041311,6.727772738,7.51737019,9.093748891,0,7.411461541,7.318645464,6.402686873,6.30129069,8.723270457,8.167834892,8.364125979,12
s2t12,7.469747277,7.130291773,0,7.22458774,6.348461079,8.579063656,7.499219347,6.938063917,6.541310371,6.757837773,6.714911794,6.802721362,6.926022632,8.420195664,0,7.12766717,5.857733637,0,7.461669686,7.327642585,6.558171433,0,7.578366631,0,6.577369271,6.604887246,6.642436021,7.015605977,6.992709882,6.788019082,7.407940457,8.532264907,0,7.030441874,7.261399526,6.497689744,5.846030668,8.46184156,7.790398629,7.963450751,12
s3t12,7.717554635,7.311944954,0,7.143487971,6.380797524,8.453836618,7.798113154,6.972616934,6.782511852,6.87163254,7.512242572,6.575118891,7.029349419,8.266407859,0,7.120978375,5.8978005,0,7.647294152,7.366102143,6.62242481,0,7.786035633,0,6.71654698,6.213285776,6.771285873,6.96531388,7.157338275,6.610688095,7.782769452,8.78893774,0,6.634211923,7.362861896,6.289743392,0,8.131814675,7.46558419,8.173720846,12
